22	22	13	13	13	6	6	6	6	6	6	6	8	8	8	8	8	8	8	10
22	22	13	13	13	6	6	6	6	6	6	6	8	8	8	8	8	8	8	10
13	13	13	13	13	6	6	6	6	6	6	6	8	8	8	8	8	8	8	10
13	13	13	13	13	6	6	6	6	6	6	6	8	8	8	8	8	8	8	10
13	13	13	13	13	6	6	6	6	6	6	6	8	8	8	2	2	2	2	2
13	13	13	13	13	6	6	6	6	6	6	6	10	10	10	2	2	2	2	2
13	13	13	13	13	13	13	14	14	14	2	2	2	2	2	2	2	2	2	2
13	13	13	13	13	13	7	7	7	7	2	2	2	2	2	2	2	2	2	2
13	13	13	13	13	13	7	7	7	7	2	2	2	2	0	0	0	0	0	0
30	30	20	16	16	16	7	7	7	7	2	2	2	2	0	0	0	0	0	0
30	30	20	16	16	16	7	7	7	7	2	2	2	2	0	0	0	0	0	0
62	62	20	16	16	16	7	7	7	7	2	2	2	2	0	0	0	0	0	0
